Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Name FR,Identifier,Date/Time,TimeStart,TimeEnd,Location,Price,Description,Description FR,Notice,Notice FR,Dag_NL,Dag_FR,Maand_NL,Maand_FR,Status,Imgname
ANIMATIE : Het Gezondheidszorgstelsel en de Mutualiteiten,animatie-het-gezondheidszorgstelsel-en-de-mutualiteiten,6218bc292822d0fe3ce3347b,653ad4ede882f528b327d8f8,68f0d15a53cadcb67fb543ea,false,false,Thu Oct 16 2025 11:04:58 GMT+0000 (Coordinated Universal Time),Thu Oct 16 2025 11:04:58 GMT+0000 (Coordinated Universal Time),Thu Oct 16 2025 11:04:58 GMT+0000 (Coordinated Universal Time),ANIMATION : Le Système des Soins de Santé et les Mutuelles,,Wed Oct 22 2025 11:30:00 GMT+0000 (Coordinated Universal Time),13:30,15:00,De Harmonie,0,"Harmonie werkt samen met Community Health Workers om u een animatie aan te bieden die u veel belangrijke informatie geeft over het gezondheidszorgsysteem en de mutualiteiten. Dit is de gelegenheid om het “sociale infopunt” van Harmonie te lanceren, zodat u bij ons het hele jaar door alle informatie kunt vinden die u nodig heeft. ","L'Harmonie s'associe aux Community Health Workers pour vous offrir une animation qui vous apportera plein d'informations importantes sur le système des soins de santé et les mutuelles. Ce sera l'occasion de lancer le ""point d'info sociale"" de l'Harmonie afin que vous puissiez trouver en nos murs toutes les informations dont vous avez besoin tout au long de l'année. ",,,woensdag,mercredi,oktober,octobre,Gepubliceerd,
Armbandjes maken met Christelle,armbandjes-maken-met-christelle,6218bc292822d0fe3ce3347b,653ad4ede882f528b327d8f8,657c5342b4b2e4b396393e2e,false,false,Fri Dec 15 2023 13:23:14 GMT+0000 (Coordinated Universal Time),Fri Dec 15 2023 13:23:14 GMT+0000 (Coordinated Universal Time),Fri Dec 15 2023 13:23:19 GMT+0000 (Coordinated Universal Time),Création de bracelets avec Christelle,,Tue Dec 19 2023 13:00:00 GMT+0000 (Coordinated Universal Time),14:00,,De Harmonie,,Aan het einde van het jaar verwelkomen we Christelle voor haar animatietraining. Ze zal een workshop armbanden maken geven. Kom de jongere generatie aanmoedigen om in de toekomst jullie beste entertainers te worden :),Nous accueillons en cette fin d'année Christelle pour son stage d'animation. Elle vous propose un atelier de création de bracelets. Venez encourager la jeune génération à devenir votre meilleure animatrice dans le futur :) ,,,disndag,mardi,december,decembre,Gepubliceerd,
Balade d'Orlando : Alsemberg - Hallerbos,balade-dorlando,6218bc292822d0fe3ce3347b,653ad4ede882f528b327d8f8,646e0b05f4b96fe8848cfad1,false,false,Wed May 24 2023 13:03:01 GMT+0000 (Coordinated Universal Time),Thu Jun 15 2023 09:36:28 GMT+0000 (Coordinated Universal Time),Thu Jun 15 2023 09:38:40 GMT+0000 (Coordinated Universal Time),Balade d'Orlando : Alsemberg - Bois de Hal,153,Thu Jun 08 2023 08:00:00 GMT+0000 (Coordinated Universal Time),,,,,"De 7 fonteinen van Alsemberg, het plateau van Colipain en het Hallerbos. Dagwandeling 10u-19u (picknick te gaan) 8-10 km maximum.
We wandelen een tijdje voordat we een pad vinden met grote kasseien die zeer schilderachtig zijn (voor de enkels...). We komen aan bij een charmante plek genaamd ""les sept fontaines"" (de zeven fonteinen).
Vanaf hier klimmen we naar het plateau van Colipain, dat we oversteken voordat we het Hallerbos betreden (voor de wilde hyacinten zal het iets te laat zijn...).
Bij het verlaten van het bos van Hal nemen we een TEC-bus naar het station van Hal, waar we de trein naar Brussel nemen. (Minstens 4 treinen per uur...).
We eindigen rond 19u in het station van Hal.","Les 7 fontaines à Alsemberg, le plateau de Colipain et le bois de Hal. Balade d’une journée 10-19h (pic-nic à emporter) 8-10 km maximum.
Nous marcherons un peu avant de trouver un chemin aux gros pavés très pittoresques (pour les chevilles…). Nous arriverons à un charmant endroit appelé « les sept fontaines ».
De là, nous monterons sur le plateau de Colipain que nous traverserons avant de rentrer dans le bois de Hal (pour les jacinthes sauvages, ce sera un peu trop tard…).
A la sortie du bois de Hal, nous prendrons un bus TEC jusqu’à la gare de Hal où nous prendrons le train pour Bruxelles. (au moins 4 trains par heure…).
Fin au plus tard vers 19h, à La gare de Hal.
",Afspraak om 9u50 aan de halte Bascule voor de bussen Tec en De Lijn. We nemen de bus van De Lijn naar het eindpunt in Alsemberg.,RDV à 9:50h à l’arrêt Bascule des bus Tec et De Lijn. Nous prendrons le bus De Lijn jusqu’au terminus à Alsemberg.,donderdag,jeudi,juni,juin,Gepubliceerd,natuurdieren.png
Balade d'Orlando : Op zoek naar de hoogste sequoia van België (45-50m).,balade-dorlando-2,6218bc292822d0fe3ce3347b,653ad4ede882f528b327d8f8,646e0b1c851d3f257a26b6a0,false,false,Wed May 24 2023 13:03:24 GMT+0000 (Coordinated Universal Time),Thu Jun 01 2023 14:08:09 GMT+0000 (Coordinated Universal Time),Thu Jun 01 2023 14:23:13 GMT+0000 (Coordinated Universal Time),Balade d'Orlando : À la recherche des plus hauts séquoia de Belgique (45-50m).,153,Thu Jun 15 2023 08:00:00 GMT+0000 (Coordinated Universal Time),,,,,"Eendaagse wandeling (11.00-19.00 uur), met picknick. 6 tot 8 km.
In dit gebied staat een groep Sequoia Gigantica bomen, de grootste in België. We zullen goed moeten zoeken om ze te vinden!
We nemen dezelfde Tec bus terug naar La Grande Espinette.","Promenade d’une journée (11h-19h), avec pic-nic. 6 à 8km.
Dans ce coin se trouve un groupe de Sequoia Gigantica les plus grands de Belgique. Il nous faudra un peu chercher pour les trouver !
Nous rentrerons par le même bus Tec à la grande Espinette.","Trefpunt bij de halte Inno-Bascule voor de bussen Tec en De Lijn, om 10.50 uur. We stappen uit bij Grande Espinette.","Rdv arrêt Inno-Bascule des bus Tec et De Lijn, à 10h50. Nous descendrons à la Grande Espinette.",donderdag,jeudi,juni,juin,Gepubliceerd,natuurdieren.png
Balade d'Orlando : De Grote Oversteek : Van Kleine Hut tot Tervuren,balade-dorlando-3,6218bc292822d0fe3ce3347b,653ad4ede882f528b327d8f8,646e0b30a29d8c812e73f2cc,false,false,Wed May 24 2023 13:03:44 GMT+0000 (Coordinated Universal Time),Thu Jun 29 2023 13:32:10 GMT+0000 (Coordinated Universal Time),Thu Jun 29 2023 13:32:10 GMT+0000 (Coordinated Universal Time),Balade d'Orlando : La grande traversée : de la petite Espinette (Kleine Hut) jusqu’à Tervueren.,153,Thu Jun 22 2023 08:00:00 GMT+0000 (Coordinated Universal Time),,,,,"Ter voorbereiding van de wandeling in de Venen.....
Dagwandeling 10u-19u (picknick te gaan) 10-12 km maximum.
We dalen af naar Petite Espinette en nemen de Drève des Bonniers. We passeren het boswachtersmonument, Notre Dame aux bois (Jezus-Eik) en het bos van Capucins (Arboretum van Tervuren).
Finish uiterlijk om 19.00 uur in Tervuren (eindpunt tram 44). Aankomst in Montgomery (tram, metro, bus...).","Pour préparer à la balade dans les Fagnes…..
Balade d’une journée 10-19h (pic-nic à emporter) 10-12 km maximum.
Nous descendrons à la petite Espinette et prendrons la drève des Bonniers. Nous passerons par le monument aux forestiers, Notre Dame aux bois (Jesus-Eik) et le bois des Capucins (Arboretum de Tervueren).
Fin au plus tard vers 19h, à Tervueren (terminus du tram 44). Arrivée à Montgomery (tram, métro, bus…).
","Trefpunt bij de halte Inno-Bascule van de bussen Tec en De Lijn, om 10 uur.","Rdv arrêt Inno-Bascule des bus Tec et De Lijn, à 10h.",donderdag,jeudi,juni,juin,Gepubliceerd,natuurdieren.png
Balade d'Orlando : De Haan,balade-dorlando-de-haan,6218bc292822d0fe3ce3347b,653ad4ede882f528b327d8f8,646e0aeaf4b96fe8848cec19,false,false,Wed May 24 2023 13:02:34 GMT+0000 (Coordinated Universal Time),Thu Jun 01 2023 13:58:08 GMT+0000 (Coordinated Universal Time),Thu Jun 01 2023 14:23:13 GMT+0000 (Coordinated Universal Time),Balade d'Orlando : Le Coq,153,Thu Jun 01 2023 08:00:00 GMT+0000 (Coordinated Universal Time),,,,,"De Haan, aan de Belgische kust. Dagtocht 10-19 uur (lunchpakket) maximaal 8-12 km.
We doorkruisen de bossen rond De Haan. Een ongebruikelijke route voor een Orlando wandeling. Dan langs het strand naar De Haan. Dover door zwemmen, voor wie wil... Terugkeer naar Oostende met de tram van De Lijn. Zoals de vorige week zal ik u een maaltijd aanbieden in een van de vele restaurants van Oostende...
We eindigen ten laatste rond 19u tot 20u in het station van Oostende. Ik laat je alleen terug naar Brussel gaan... als ik je kan vertrouwen...","Le Coq (De Haan), à la côte belge. Balade d’une journée 10-19h (pic-nic à emporter) 8-12 km maximum.
Nous traversons les bois qui entourent Le Coq. Un chemin inédit dans les balades d’Orlando. Puis par la plage jusqu’au Coq. Douvres à la nage, pour ceux qui veulent… Retour à Ostende par le tram De Lijn. Je vous proposerai, comme la semaine précédente, à manger dans un des nombreux restaurants de Ostende…
Fin au plus tard vers 19h-20h, à La gare d’Ostende. Je vous laisserai rentrer seuls à Bruxelles… si je peux vous faire confiance…
","Zoals vorige week, verzamelen om 9.45 uur bij Centraal Station (trein Noord Station om 9.51 uur, trein Centraal Station om 9.56 uur en trein Zuid Station om 10.04 uur). Neem de trein naar Oostende. IN DE EERSTE AUTO... LET OP: ik ben niet in Brussel!!!
In Oostende ontmoeten jullie elkaar aan de uitgang van de trein (als jullie er nog niet zijn) en daar wacht ik op jullie !!!
We nemen de tram van De Lijn, deze keer richting Knokke, tot aan De Haan (halte De Haan).","Comme la semaine dernière, RDV à 9:45h à la gare centrale (gare du Nord train à 9:51, centrale train à 9:56 et gare du midi train à 10:04). Prendre le train pour Ostende. DANS LA PREMIERE VOITURE… ATTENTION : Je ne serai pas à Bruxelles !!!
A Ostende, vous vous retrouverez à la sortie du train (si ce n’est pas déjà fait) et c’est là que moi je vous attends !!!
Nous prendrons le tram De Lijn, dans la direction de… Knokke cette fois. jusqu’au Coq (arrêt De Haan).",donderdag,jeudi,juni,juin,Gepubliceerd,natuurdieren.png
Balade d'Orlando : Het dak van België : De Venen,balade-dorlando-de-venen,6218bc292822d0fe3ce3347b,653ad4ede882f528b327d8f8,646e0c0696f58bbe86f9f246,false,true,Wed May 24 2023 13:07:18 GMT+0000 (Coordinated Universal Time),Thu Jun 29 2023 13:31:56 GMT+0000 (Coordinated Universal Time),,Balade d'Orlando : Le toit de la Belgique : les Fagnes !,153,Thu Jun 29 2023 08:00:00 GMT+0000 (Coordinated Universal Time),,,,,"Als je het niet weet, moet je het doen! Ja, je moet! De wandeling zal anders zijn dan vorig jaar (voor Noëlla...). Eendaagse wandeling in de Venen (picknick mee te nemen). 12-15km maximum.
We dalen af naar Ovifat (voorbij de Baraque Michel). Van daaruit gaan we naar de stuwdam van Robertville en het kasteel van Reinhardstein (geen bezoek...). We wandelen door de vallei van Bayehon en langs de vennen naar de Baraque Michel. Drankjes verkrijgbaar als de chalet open is...? Voor de terugweg nemen we een TEC bus terug naar de Baraque Michel. Wandelen in de Venen is een beetje anders dan wandelen in de Rue Neuve! We komen in een gebied dat een overblijfsel is van de laatste ijstijd! Neem dikke enkellaarzen of laarzen mee, en kleding die tegen de regen maar vooral tegen de wind kan. We bevinden ons op de top van België (het is niet de Himalaya, maar toch bijna 700m...) en de wind kan sterk zijn. Picknick en drinken zijn essentieel...! Wandelen maakt hongerig en dorstig!","Si vous ne connaissez pas, il faut la faire ! Si si !!! La balade sera différente de l’année passée. (pour Noëlla…). Balade d’une journée dans les Fagnes (pic-nic à emporter). 12-15km maximum.
Nous descendrons à Ovifat (passé la Baraque Michel). De là, nous irons vers le barage de Robertville et le chateau de Reinhardstein (pas de visite…). Nous remonterons la vallée Bayehon et longerons des fagnes jusqu’à la Baraque Michel. Boisson possible si chalet ouvert…? Pour le retour, nous reprendrons un bus TEC à la Baraque Michel. Marcher dans les Fagnes est un peu différent de marcher rue Neuve ! Nous serons dans une région qui est un vestige de la dernière glaciation !!! Prévoir des grosses bottines ou des bottes, des vêtements pouvant supporter la pluie mais surtout le vent. Nous sommes au sommet de la Belgique (ce n’est pas l’Himalaya, mais ça fait quand même presque 700m…) et les vents peuvent être forts. Pic-nic et boissons indispensables...! Marcher ça donne faim et soif !","De trein naar Eupen nemen (Zuidstation : 7.55u ; Centraal Station : 8.00u ; Noord Station : 08.06u) met een senior AR ticket (dat €7,80 kost) voor Eupen (zelfs als we op de heenreis in Verviers uitstappen en via Eupen terugkeren... ;-).
We ontmoeten elkaar in de trein. Laten we zeggen in het midden van de trein??? Van daaruit nemen we de bus TEC 390, die om 9.45 uur vertrekt uit Verviers centraal station, richting Rocherath.","Prendre le train (Gare du Midi : 7h55 ; Gare Centrale : 8h00 ; Gare du Nord : 8h06) vers Eupen avec un ticket senior AR, (qui est à 7,80€) pour Eupen (même si nous descendons, à l’aller à Verviers et nous reviendrons par Eupen... ;-).
On se retrouve dans le train. Disons au milieu du train ??? De là, nous prendrons le bus TEC 390 qui part de la gare centrale de Verviers à 9h45, vers Rocherath.",donderdag,jeudi,juni,juin,Gepubliceerd,natuurdieren.png
Balade d'Orlando Dieweg - Wolvendael,balade-dorlando-dieweg-wolvendael,6218bc292822d0fe3ce3347b,653ad4ede882f528b327d8f8,6368e7bfe0c51a7b23d857aa,false,false,Mon Nov 07 2022 11:10:55 GMT+0000 (Coordinated Universal Time),Mon Nov 07 2022 11:10:55 GMT+0000 (Coordinated Universal Time),Mon Nov 07 2022 11:11:04 GMT+0000 (Coordinated Universal Time),Balade d'Orlando Dieweg - Wolvendael,116,Tue Nov 08 2022 13:00:00 GMT+0000 (Coordinated Universal Time),14:00,17:00,Arrêt Dieweg à Uccle (tram 92),0,Wandeling van 5 km naar het Begraafplaats van Dieweg et het Wolvendaelpark,Promenade de 5 km au cimetière de Dieweg et du parc Wolvendael,Inschrijven per sms: 0496 500 824,Inscription par SMS: 0496 500 824,dinsdag,mardi,november,novembre,Gepubliceerd,natuurdieren.png
Balade d'Orlando - Wilder Kapel en Bos (Berghem St Agathe),balade-dorlando-josaphat-park,6218bc292822d0fe3ce3347b,653ad4ede882f528b327d8f8,63721e46d2a625dcf0caf8ec,false,false,Mon Nov 14 2022 10:53:58 GMT+0000 (Coordinated Universal Time),Mon Nov 14 2022 11:32:37 GMT+0000 (Coordinated Universal Time),Mon Nov 14 2022 11:32:49 GMT+0000 (Coordinated Universal Time),Balade d'Orlando - Chapelle et Bois du Wilder ( Berghem Saint - Agathe),116,Tue Nov 29 2022 13:00:00 GMT+0000 (Coordinated Universal Time),14:00,17:00,"Place Dr. Schweitzer, à l'arrêt du tram 19 (Qui se prend à Simonis)",0,Wandeling door de Wilder Bos en zijn wandelpaden en zijn omgeving,Balade à travers le bois du Wilder et ses environs.,Inschrijven per sms: 0496 500 824,Inscription par SMS: 0496 500 824,dinsdag,mardi,november,novembre,Gepubliceerd,natuurdieren.png
Balade d'Orlando - Kapucijnenbos,balade-dorlando-kapucijnenbos,6218bc292822d0fe3ce3347b,653ad4ede882f528b327d8f8,63721a578aa8aed8ff85090c,false,false,Mon Nov 14 2022 10:37:11 GMT+0000 (Coordinated Universal Time),Mon Nov 14 2022 10:40:08 GMT+0000 (Coordinated Universal Time),Mon Nov 14 2022 11:32:49 GMT+0000 (Coordinated Universal Time),Balade d'Orlando - Bois des Capucins,116,Tue Nov 15 2022 13:00:00 GMT+0000 (Coordinated Universal Time),14:00,17:00,Metro Herman-Debroux (sortie gauche),0,"Wandeling van 6 - 8 km in de Kapucijnenbos
https://arboretum-tervuren.be/het-wandelparadijs/","Promenade de 6 - 8 km boucle au Bois des Capucins.
https://arboretum-tervuren.be/fr/le-paradis-des-promeneurs/",Inschrijven per sms: 0496 500 824,Inscription par SMS: 0496 500 824,dinsdag,mardi,november,novembre,Gepubliceerd,natuurdieren.png
